"County
Name ","District
Name",Co/Dist Code,Site Code,School Site,Total Enrollment,Telephone,Principal,Principal's Email,Mailing Address,Mailing City,Mailing State,Mailing Zip,Physical Address,Physical City,Physical State,Physical Zip,Grades  (Low-High),Certified Staff
ALFALFA     ,CHEROKEE                      ,02-I046,105,CHEROKEE ES                   ,224,(580) 596-3277,Ruth Richmond,richmondr@cherokee.k12.ok.us,700 S. NEBRASKA,Cherokee,OK,73728,700 S. NEBRASKA,Cherokee,OK,73728,PK-05,29
ALFALFA     ,CHEROKEE                      ,02-I046,510,CHEROKEE MS                   ,75,(580) 596-3391,Jeremy Hickman,hickmanj@cherokee.k12.ok.us,412 E. 5TH STREET,CHEROKEE,OK,73728,412 E. 5TH STREET,CHEROKEE,OK,73728,8-Jun,19
ALFALFA     ,CHEROKEE                      ,02-I046,705,CHEROKEE HS                   ,102,(580) 596-3391,Jeremy Hickman,HICKMANJ@CHEROKEE.K12.OK.US,412 E. 5TH STREET,Cherokee,OK,73728,412 E. 5TH STREET,Cherokee,OK,73728,12-Sep,20
ALFALFA     ,TIMBERLAKE                    ,02-I093,105,TIMBERLAKE ES                 ,219,(580) 626-4411,Kale Pierce,kpierce@tlake.k12.ok.us,Post Office Box 188,Jet,OK,73749,Third & Magnolia,Jet,OK,73749,PK-08,30
ALFALFA     ,TIMBERLAKE                    ,02-I093,705,TIMBERLAKE HS                 ,66,(580) 852-3281,Charlie Berg,cberg@tlake.k12.ok.us,Post Office Box 287,Helena,OK,73741,601 N. Main,Helena,OK,73741,12-Sep,17
ATOKA       ,HARMONY                       ,03-C021,105,HARMONY PUBLIC SCHOOL         ,234,(580) 889-3687,Brian Walker,bwalker@harmonyps.org,4926 S Bentley Rd,Atoka,OK,74525-4664,4926 S Bentley Rd,Atoka,OK,74525-4664,PK-08,15
ATOKA       ,LANE                          ,03-C022,105,LANE PUBLIC SCHOOL            ,274,(580) 889-2743,Debra Patton,dpatton@lane.k12.ok.us,601 W. McGee Creek Rd,Lane,OK,74555,601 W. McGee Creek Rd,Lane,OK,74555,PK-08,22
ATOKA       ,STRINGTOWN                    ,03-I007,105,STRINGTOWN ES                 ,147,(580) 346-7423,Ricky Heard,rheard@stringtownisd.org,Post Office Box 130,Stringtown,OK,74569,304 Highland St,Stringtown,OK,74569,PK-08,17
ATOKA       ,STRINGTOWN                    ,03-I007,705,STRINGTOWN HS                 ,78,(580) 346-7741,Tony Potts,tpotts@stringtownisd.org,Post Office Box 130,Stringtown,OK,74569,103 Tiger Drive,Stringtown,OK,74569,12-Sep,13
ATOKA       ,ATOKA                         ,03-I015,120,ATOKA ES                      ,584,(580) 889-3553,Kayla Moore,kmoore@atoka.org,Post Office Box 720,Atoka,OK,74525,1680 S. Great House Dr.,Atoka,OK,74525,PK-08,50
ATOKA       ,ATOKA                         ,03-I015,120,ATOKA ES                      ,584,(580) 889-3553,Wesley Burnett,wburnett@atoka.org,Post Office Box 720,Atoka,OK,74525,1680 S. Great House Dr.,Atoka,OK,74525,PK-08,50
ATOKA       ,ATOKA                         ,03-I015,705,ATOKA HS                      ,295,(580) 889-3361,Kathy Perkins,kperkins@atoka.org,Post Office Box 720,Atoka,OK,74525,1758 S. Great House Dr.,Atoka,OK,74525,12-Sep,27
ATOKA       ,TUSHKA                        ,03-I019,105,TUSHKA ES                     ,291,(580) 889-7355,Paul Weaver,pweaver@tushka.k12.ok.us,2661 W Boggy Depot Road,Atoka,OK,74525-6842,2661 W Boggy Depot Road,Atoka,OK,74525-6842,PK-08,26
ATOKA       ,TUSHKA                        ,03-I019,705,TUSHKA HS                     ,151,(580) 889-7355,Charles Graham,jgraham@tushka.k12.ok.us,2661 W Boggy Depot Road,Atoka,OK,74525-6842,2661 W Boggy Depot Road,Atoka,OK,74525-6842,12-Sep,21
ATOKA       ,CANEY                         ,03-I026,105,CANEY ES                      ,175,(580) 889-6966,Lori Boehme,l.boehme@caneyisd.org,PO Box 60,Caney,OK,74533,372 N. Cobb Ave.,Caney,OK,74533,PK-08,20
ATOKA       ,CANEY                         ,03-I026,705,CANEY HS                      ,61,(580) 889-6607,Matt Brister,m.brister@caneyisd.org,PO Box 60,Caney,OK,74533,372 N. Cobb Ave.,Caney,OK,74533,12-Sep,11
BEAVER      ,BEAVER                        ,04-I022,105,BEAVER ES                     ,248,(580) 625-3444,Read Cates,rcates@beaver.k12.ok.us,Post Office Box 580,Beaver,OK,73932,807 Ave. G,Beaver,OK,73932,PK-08,26
BEAVER      ,BEAVER                        ,04-I022,705,BEAVER HS                     ,99,(580) 625-3444,Michael Mcvay,coachmcvay@beaver.k12.ok.us,Post Office Box 580,Beaver,OK,73932,807 Ave G,Beaver,OK,73932,12-Sep,19
BEAVER      ,BALKO                         ,04-I075,105,BALKO ES                      ,116,(580) 646-3385,Douglas Davis,ddavis@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931,"Rural Route 1, Box 37",Balko,OK,73931,PK-08,22
BEAVER      ,BALKO                         ,04-I075,705,BALKO HS                      ,47,(580) 646-3385,Douglas Davis,ddavis@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931,"Rural Route 1, Box 37",Balko,OK,73931,12-Sep,12
BEAVER      ,FORGAN                        ,04-I123,105,FORGAN ES                     ,108,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,Post Office Box 406,Forgan,OK,73938,504 West Main,Forgan,OK,73938,PK-08,19
BEAVER      ,FORGAN                        ,04-I123,705,FORGAN HS                     ,42,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,Post Office Box 406,Forgan,OK,73938,504 West Main,Forgan,OK,73938,12-Sep,14
BEAVER      ,TURPIN                        ,04-I128,105,TURPIN ES                     ,327,(580) 778-3331,Jeff Funk,jfunk@turpinps.org,PO Box 187,Turpin,OK,73950,316 S. Lee,Turpin,OK,73950,PK-08,37
BEAVER      ,TURPIN                        ,04-I128,705,TURPIN HS                     ,106,(580) 778-3333,Gary Wallace,gwallace@turpinps.org,PO Box 187,Turpin,OK,73950,316 S. Lee,Turpin,OK,73950,12-Sep,25
BECKHAM     ,MERRITT                       ,05-I002,105,MERRITT ES                    ,638,(580) 225-5460,Tawn Rundle,rundlet@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644,19693 East 1130 Road,Elk City,OK,73644,PK-08,54
BECKHAM     ,MERRITT                       ,05-I002,705,MERRITT HS                    ,169,(580) 225-5460,Don Bradshaw,bradshawd@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644,19693 East 1130 Road,Elk City,OK,73644,12-Sep,25
BECKHAM     ,ELK CITY                      ,05-I006,115,ELK CITY IES                  ,466,(580) 225-2687,Randy Turney,turney.randy@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,800 N. Pioneer Rd.,Elk City,OK,73644,6-Apr,37
BECKHAM     ,ELK CITY                      ,05-I006,125,ELK CITY ES                   ,769,(580) 225-7722,Amanda Friesen,friesen.amanda@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,2801 Brigadier General Ronald D. Buckley Ave,Elk City,OK,73644,PK-03,52
BECKHAM     ,ELK CITY                      ,05-I006,610,ELK CITY MS                   ,315,(580) 225-5043,Richard Moran,moran.richard@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,400 N. Boone,Elk City,OK,73644,8-Jul,49
BECKHAM     ,ELK CITY                      ,05-I006,705,ELK CITY HS                   ,560,(580) 225-0105,Jeff Lewallen,lewallen.jeff@elkcityschools.com,222 West Broadway Avenue,Elk City,Ok,73644,1221 N. Pioneer Rd.,Elk City,OK,73644,12-Sep,66
BECKHAM     ,SAYRE                         ,05-I031,105,SAYRE ES                      ,390,(580) 928-2013,Cody Huckaby,cholmes@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662,400 E. Hannah Dr.,Sayre,OK,73662,PK-05,30
BECKHAM     ,SAYRE                         ,05-I031,505,SAYRE MS                      ,152,(580) 928-5578,Danny Clifton,dclifton@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662,600 E. Hannah Dr.,Sayre,OK,73662,8-Jun,23
BECKHAM     ,SAYRE                         ,05-I031,705,SAYRE HS                      ,192,(580) 928-5576,Brad Coffman,dcrabb@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662,800 E. Hannah Dr. ,Sayre,OK,73662,12-Sep,26
BECKHAM     ,ERICK                         ,05-I051,105,ERICK ES                      ,187,(580) 526-3203,Kenneth Hill,KHILL@ERICKPS.K12.OK.US,Post Office Box 9,Erick,OK,73645,205 SOUTH CEDAR,Erick,OK,73645,PK-08,23
BECKHAM     ,ERICK                         ,05-I051,715,ERICK HS                      ,65,(580) 526-3351,Jeff Kelly,JKELLY@ERICKPS.K12.OK.US,Post Office Box 9,Erick,OK,73645,404 SOUTH OAK,Erick,OK,73645,12-Sep,17
BECKHAM     ,ERICK                         ,05-I051,715,ERICK HS                      ,65,(580) 526-3351,Matthew Fox,mfox@erick.k12.ok.us,Post Office Box 9,Erick,OK,73645,404 SOUTH OAK,Erick,OK,73645,12-Sep,17
BLAINE      ,OKEENE                        ,06-I009,105,OKEENE ES                     ,204,(580) 822-3425,Mike Jinkens,mjinkens@okeene.k12.ok.us,P.O. Box 409,Okeene,OK,73763,318 N 6th,Okeene,OK,73763,PK-06,14
BLAINE      ,OKEENE                        ,06-I009,615,OKEENE JR-SR HS (JR)          ,50,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,Post Office Box 409,Okeene,OK,73763,301 North Main,Okeene,OK,73763,8-Jul,13
BLAINE      ,OKEENE                        ,06-I009,715,OKEENE JR-SR HS (SR)          ,83,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,Post Office Box 409,Okeene,OK,73763,301 North Main,Okeene,OK,73763,12-Sep,16
BLAINE      ,WATONGA                       ,06-I042,105,WATONGA ES                    ,395,(580) 623-5248,Jeanne Karns,jkarns@watonga.k12.ok.us,P.O. Box 640,Watonga,OK,73772,900 N. Leach,Watonga,OK,73772,PK-05,34
BLAINE      ,WATONGA                       ,06-I042,505,WATONGA MS                    ,165,(580) 623-7361,Bryan Pope,bpope@watonga.k12.ok.us,P.O. Box 310,Watonga,OK,73772,1200 Eagle Lane,Watonga,OK,73772,8-Jun,27
BLAINE      ,WATONGA                       ,06-I042,705,WATONGA HS                    ,196,(580) 623-7362,David Lorenz,dlorenz@watonga.k12.ok.us,P.O. Box 310,Watonga,OK,73772,1200 Eagle Lane,Watonga,OK,73772,12-Sep,46
BLAINE      ,GEARY                         ,06-I080,105,GEARY ES                      ,175,(405) 884-2442,Sean Buchanan,mmalloy@geary.k12.ok.us,221 S. Galena,Geary,OK,73040,221 S. Galena,Geary,OK,73040,PK-05,18
BLAINE      ,GEARY                         ,06-I080,500,GEARY MS                      ,72,(405) 884-2289,Tim Rawls,jshelton@geary.k12.ok.us,311 S. BLAINE,GEARY,OK,73040,311 S. BLAINE,GEARY,OK,73040,8-Jun,21
BLAINE      ,GEARY                         ,06-I080,715,GEARY HS                      ,89,(405) 884-2362,Tim Rawls,jshelton@geary.k12.ok.us,300 S. Blaine,Geary,OK,73040,300 S. Blaine,Geary,OK,73040,12-Sep,30
BLAINE      ,CANTON                        ,06-I105,105,CANTON ES                     ,272,(580) 886-2251,Daniel Ingram,ingramd@canton.k12.ok.us,Post Office Box 639,Canton,OK,73724,Highway 58 South,Canton,OK,73724,PK-08,37
BLAINE      ,CANTON                        ,06-I105,705,CANTON HS                     ,87,(580) 886-2256,Adam Mcphail,mcphaila@canton.k12.ok.us,Post Office Box 639,Canton,OK,73724,Highway 58 South,Canton,OK,73724,12-Sep,23
BRYAN       ,SILO                          ,07-I001,110,SILO ES                       ,495,(580) 924-7001,Katie Brister,k.brister@siloisd.org,122 West Bourne Street,Durant,OK,74701,122 West Bourne Street,Durant,OK,74701,PK-05,34
BRYAN       ,SILO                          ,07-I001,515,SILO MS                       ,187,(580) 924-7000,Mike Lawless,m.lawless@siloisd.org,122 West Bourne Street,Durant,OK,74701,122 West Bourne Street,Durant,OK,74701,8-Jun,25
BRYAN       ,SILO                          ,07-I001,705,SILO HS                       ,232,(580) 924-7000,Jeremy Atwood,j.atwood@siloisd.org,122 West Bourne Street,Durant,OK,74701,122 West Bourne Street,Durant,OK,74701,12-Sep,30
BRYAN       ,ROCK CREEK                    ,07-I002,105,ROCK CREEK ES                 ,342,(580) 924-9601,Ryan Cordell,rcordell@rockcreekisd.net,23072 U.S. Highway 70,Durant,OK,74701,23072 U.S. Highway 70,Durant,OK,74701,PK-08,26
BRYAN       ,ROCK CREEK                    ,07-I002,705,ROCK CREEK HS                 ,146,(580) 295-3761,John Cartwright,jcartwright@rockcreekisd.net,200 East Steakley Street,Bokchito,OK,74726,200 East Steakley Street,Bokchito,OK,74726,12-Sep,20
BRYAN       ,ACHILLE                       ,07-I003,105,ACHILLE ES                    ,267,(580) 283-3002,Lora Stanglin,lstanglin@achilleisd.org,Post Office Box 280,Achille,OK,74720,201 N 5th Ave,Achille,OK,74720,PK-08,25
BRYAN       ,ACHILLE                       ,07-I003,705,ACHILLE HS                    ,93,(580) 283-3260,Dana Beene,dbeene@achilleisd.org,Post Office Box 280,Achille,OK,74720,101 N 5th Ave,Achille,OK,74720,12-Sep,16
BRYAN       ,COLBERT                       ,07-I004,105,WARD ES EAST                  ,159,(580) 296-2198,Stephanie Carlton,carltons@colbertisd.org,Post Office Box 310,Colbert,OK,74733,407 E. Ward Rd.,Colbert,OK,74733,6-Apr,21
BRYAN       ,COLBERT                       ,07-I004,110,WARD ES WEST                  ,342,(580) 296-2626,Karen Hedgecock,hedgecockk@colbertisd.org,Post Office Box 310,Colbert,OK,74733,630 Collin St.,Colbert,OK,74733,PK-03,25
BRYAN       ,COLBERT                       ,07-I004,505,COLBERT MS                    ,119,(580) 296-2590,Wesley Schreier,schreierw@colbertisd.org,Post Office Box 310,Colbert,OK,74733,630 Collin St.,Colbert,OK,74733,8-Jul,24
BRYAN       ,COLBERT                       ,07-I004,715,COLBERT HS                    ,209,(580) 296-2590,Wesley Schreier,schreier@colbertisd.org,Post Office Box 310,Colbert,OK,74733,630 Collin St.,Colbert,OK,74733,12-Sep,33
BRYAN       ,CADDO                         ,07-I005,105,CADDO ES                      ,353,(580) 367-2515,Spencer Phipps,sphipps@caddoisd.org,Post Office Box 128,Caddo,OK,74729,600 S. McPherren,Caddo,OK,74729,PK-08,39
BRYAN       ,CADDO                         ,07-I005,715,CADDO HS                      ,153,(580) 367-2208,J.T. Busby,jtbusby@caddoisd.org,Post Office Box 128,Caddo,OK,74729,600 S. McPherren,Caddo,OK,74729,12-Sep,24
BRYAN       ,BENNINGTON                    ,07-I040,105,BENNINGTON ES                 ,251,(580) 847-2310,Scot Mccorstin,smccorstin@benningtonisd.org,729 North Perry Street,Bennington,OK,74723,729 North Perry Street,Bennington,OK,74723,PK-08,21
BRYAN       ,BENNINGTON                    ,07-I040,705,BENNINGTON HS                 ,105,(580) 847-2310,Jon Shepard,jshepard@benningtonisd.org,729 North Perry Street,Bennington,OK,74723,729 North Perry Street,Bennington,OK,74723,12-Sep,13
BRYAN       ,CALERA                        ,07-I048,105,CALERA ES                     ,585,(580) 434-5603,Steve Evans,sevans@caleraisd.k12.ok.us,Post Office Box 386,Calera,OK,74730,111 N Third St,Calera,OK,74730,PK-08,39
BRYAN       ,CALERA                        ,07-I048,705,CALERA HS                     ,186,(580) 434-5158,Kevin Robinson,krobinson1@caleraisd.k12.ok.us,Post Office Box 386,Calera,OK,74730,209 N Third St,Calera,OK,74730,12-Sep,24
BRYAN       ,DURANT                        ,07-I072,105,WASHINGTON IRVING ES          ,668,(580) 924-3805,Lisa Whitley,lisa.whitley@durantisd.org,812 West Locust Street,Durant,OK,74701,812 West Locust Street,Durant,OK,74701,PK-03,45
BRYAN       ,DURANT                        ,07-I072,110,ROBERT E LEE EARLY CHILDHOOD  ,270,(580) 924-3628,Jan Chaffin,jan.chaffin@durantisd.org,824 West Louisiana Street,Durant,OK,74701,824 West Louisiana Street,Durant,OK,74701,PK-PK,14
BRYAN       ,DURANT                        ,07-I072,115,NORTHWEST HEIGHTS ES          ,622,(580) 924-5595,Valerie Crabtree,valerie.crabtree@durantisd.org,1715 W University Boulevard,Durant,OK,74701,1715 W University Boulevard,Durant,OK,74701,PK-03,43
BRYAN       ,DURANT                        ,07-I072,125,DURANT INTERMEDIATE ES        ,770,(580) 924-1397,Aaron Mccoy,aaron.mccoy@durantisd.org,1314 Waco Street,Durant,OK,74701,1314 Waco Street,Durant,OK,74701,6-Apr,54
BRYAN       ,DURANT                        ,07-I072,500,DURANT MS                     ,493,(580) 924-1321,John Williamson,john.williamson@durantisd.org,802 West Walnut Street,Durant,OK,74701,802 West Walnut Street,Durant,OK,74701,8-Jul,44
BRYAN       ,DURANT                        ,07-I072,705,DURANT HS                     ,934,(580) 924-4424,Cheryl Conditt,cheryl.conditt@durantisd.org,950 Gerlach Drive,Durant,OK,74701,950 Gerlach Drive,Durant,OK,74701,12-Sep,73
CADDO       ,HYDRO-EAKLY                   ,08-I011,105,HYDRO-EAKLY ES                ,210,(405) 663-2246,Jeremy Tharp,jtharp@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048,407 East Seventh Street,Hydro,OK,73048,PK-05,20
CADDO       ,HYDRO-EAKLY                   ,08-I011,505,HYDRO-EAKLY MS                ,91,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048,407 East Seventh Street,Hydro,OK,73048,8-Jun,18
CADDO       ,HYDRO-EAKLY                   ,08-I011,715,HYDRO-EAKLY HS                ,125,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048,407 East Seventh Street,Hydro,OK,73048,12-Sep,20
CADDO       ,LOOKEBA SICKLES               ,08-I012,105,LOOKEBA-SICKLES ES            ,174,(405) 457-6300,Mike Davis,mdavislsps16@gmail.com,307 West Sickles Ave.,Lookeba,OK,73053,307 West Sickles Ave.,Lookeba,OK,73053,PK-08,20
CADDO       ,LOOKEBA SICKLES               ,08-I012,705,LOOKEBA-SICKLES HS            ,72,(405) 457-6621,Shirley Gathers,sgatherslsps16@gmmail.com,10108 CR 1150,Lookeba,OK,73053,10108 CR 1150,Lookeba,OK,73053,12-Sep,12
CADDO       ,ANADARKO                      ,08-I020,105,ANADARKO EAST ES              ,268,(405) 247-2496,Danny Harris,dharris@apswarriors.com,107 Southeast Fifth Street,Anadarko,OK,73005,107 Southeast Fifth Street,Anadarko,OK,73005,3-Feb,22
CADDO       ,ANADARKO                      ,08-I020,115,SUNSET ES                     ,265,(405) 247-2503,Rhonda Tallent,rtallent@apwarriors.com,508 Southwest Seventh Street,Anadarko,OK,73005,508 Southwest Seventh Street,Anadarko,OK,73005,KG-01,24
CADDO       ,ANADARKO                      ,08-I020,120,MISSION ES                    ,346,(405) 247-6607,Jeff Barrett,jbarrett@apswarriors.com,1200 South Mission Street,Anadarko,OK,73005,1200 South Mission Street,Anadarko,OK,73005,PK-05,32
CADDO       ,ANADARKO                      ,08-I020,510,ANADARKO MS                   ,338,(405) 247-6671,Lavonda Bost,lbost@apswarriors.com,900 West College Street,Anadarko,OK,73005,900 West College Street,Anadarko,OK,73005,8-Jun,54
CADDO       ,ANADARKO                      ,08-I020,705,ANADARKO HS                   ,467,(405) 247-2486,Anthony (Tony) Summers,tsummers@apswarriors.com,1400 Warrior Drive,Anadarko,OK,73005,1400 Warrior Drive,Anadarko,OK,73005,12-Sep,54
CADDO       ,CARNEGIE                      ,08-I033,105,CARNEGIE ES                   ,324,(580) 654-1945,Lori Graham,lgraham@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015,200 West 4th St,Carnegie,OK,73015,PK-05,22
CADDO       ,CARNEGIE                      ,08-I033,510,CARNEGIE MS                   ,109,(580) 654-1766,Kirk Graham,kgraham@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015,330 West Wildcat Drive,Carnegie,OK,73015,8-Jun,19
CADDO       ,CARNEGIE                      ,08-I033,705,CARNEGIE HS                   ,149,(580) 654-1266,Kirk Graham,kgraham@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015,408 West Wildcat Drive,Carnegie,OK,73015,12-Sep,19
CADDO       ,BOONE-APACHE                  ,08-I056,105,APACHE ES                     ,261,(580) 588-5246,Amber Crow,acrow@apacheps.org,Post Office Box 354,Apache,OK,73006,505 E. Forrest,Apache,OK,73006,PK-05,19
CADDO       ,BOONE-APACHE                  ,08-I056,505,APACHE MS                     ,126,(580) 588-5227,Steven Base,sbase@apacheps.org,Post Office Box 354,Apache,OK,73006,101 Pohleman,Apache,OK,73006,8-Jun,18
CADDO       ,BOONE-APACHE                  ,08-I056,705,APACHE HS                     ,195,(580) 588-5206,Todd Vail,tvail@apacheps.org,Post Office Box 354,Apache,OK,73006,101 Pohleman,Apache,OK,73006,12-Sep,20
CADDO       ,CYRIL                         ,08-I064,105,CYRIL ES                      ,202,(580) 464-2437,Tammy Cocheran,tcocheran@cyrilschools.org,PO Box 449,Cyril,OK,73029,101 S. 4th Street,Cyril,OK,73029,PK-06,20
CADDO       ,CYRIL                         ,08-I064,610,CYRIL JHS                     ,55,(580) 464-2272,Timothy Persinger,tpersinger@cyrilschools.org,PO Box 449,Cyril,OK,73029,326 W. Windle Ave,Cyril,OK,73029,8-Jul,7
CADDO       ,CYRIL                         ,08-I064,715,CYRIL HS                      ,93,(580) 464-2272,Tim Persinger,tpersinger@cyrilschools.org,PO Box 449,Cyril,OK,73029,326 W. Windle Ave,Cyril,OK,73029,12-Sep,13
CADDO       ,GRACEMONT                     ,08-I086,105,GRACEMONT ES                  ,126,(405) 966-2551,Sharon Edelen,sedelen@gracemont.k12.ok.us,P.O. Box 5,Gracemont,OK,73042,439 East Gracemont Street,Gracemont,OK,73042,PK-08,16
CADDO       ,GRACEMONT                     ,08-I086,705,GRACEMONT HS                  ,49,(405) 966-2233,Mike Jones,mjones@gracemont.k12.ok.us,Post Office Box 5,Gracemont,OK,73042,417 East McCall,Gracemont,OK,73042,12-Sep,10
CADDO       ,CEMENT                        ,08-I160,105,CEMENT ES                     ,170,(405) 489-3217,Brad Mcneil,bmcneil@cement.k12.ok.us,Post Office Box 60,Cement,OK,73017,201 S. Main,Cement,OK,73017,PK-08,14
CADDO       ,CEMENT                        ,08-I160,715,CEMENT HS                     ,70,(405) 489-3218,Brad Mcneil,bmcneil@cement.k12.ok.us,Post Office Box 60,Cement,OK,73017,201 S. Main,Cement,OK,73017,12-Sep,11
